challenge,response
1.1101E+63,0
1.11E+62,1
1.101E+61,0
1.1101E+61,0
1.10111E+63,1
1.01101E+63,1
1.1001E+63,0
1.00111E+62,0
1.1101E+62,1
1.00101E+63,0
1.00101E+62,1
1E+63,0
1.0111E+63,0
1.10111E+63,1
1.1001E+62,1
1E+63,0
1.10101E+63,1
1.1101E+63,1
1.11001E+60,1
1.1E+62,1
1.00011E+61,0
1.1011E+61,0
1.01101E+59,1
1.11101E+61,1
1.00101E+63,0
1.11101E+63,1
1.001E+61,0
1.11111E+62,1
1.11001E+63,0
1.11E+63,0
1E+61,0
1.001E+62,1
1.101E+63,0
1.10101E+62,1
1.11001E+59,1
1.01011E+59,1
1.0111E+63,1
1.10101E+62,1
1.0111E+63,1
1.10101E+62,1
1.00001E+62,0
1.01E+59,0
1.011E+61,0
1.11101E+63,1
1.01011E+63,1
1.0111E+59,0
1.00001E+61,0
1.01101E+58,1
1.101E+63,1
1.10011E+62,0
1.01001E+62,0
1.00011E+63,1
1.0111E+63,1
1.10111E+60,0
1.11001E+63,0
1.1001E+58,0
1.11001E+63,0
1.1011E+54,0
1.11E+63,0
1.00011E+63,0
1.0001E+63,0
1.0101E+62,1
1.01001E+63,1
1.10111E+60,1
1.00101E+63,0
1.01001E+63,1
1.11E+62,1
1.01E+63,1
1.1E+63,0
1.0101E+62,0
1.10101E+62,0
1.101E+63,1
1.01001E+62,1
1.1011E+62,0
1.1011E+61,0
1.11011E+63,0
1.01111E+63,1
1.01001E+62,0
1E+61,1
1.1101E+62,1
1.0111E+61,0
1.01E+62,1
1.10011E+63,0
1.10101E+63,1
1.00001E+63,0
1.1001E+63,1
1.10101E+63,0
1E+62,0
1.011E+60,0
1.01E+62,1
1.0101E+62,0
1.0101E+62,1
1.10011E+62,0
1.10111E+62,1
1.0101E+63,1
1.10001E+60,1
1.0111E+63,1
1.0111E+61,0
1.011E+63,1
1.011E+63,1
1E+62,0
1.0011E+62,0
1.01101E+62,0
1.10011E+62,0
1.01011E+63,0
1.10011E+63,1
1.00001E+61,1
1.1101E+62,0
1.00101E+62,0
1.11101E+63,0
1.11111E+62,1
1.00101E+63,0
1.11001E+62,1
1.1111E+62,0
1E+63,1
1.10111E+62,0
1.1001E+63,1
1.0001E+62,0
1.1111E+63,1
1.001E+63,1
1.00101E+61,1
1.1E+63,0
1.01E+62,0
1.10101E+63,1
1.11011E+63,1
1.01111E+63,1
1.00001E+63,1
1.1101E+59,1
1.10101E+63,1
1.0101E+62,1
1.1101E+62,0
1.00111E+62,1
1.10011E+62,0
1.11101E+63,0
1.10001E+63,1
1.101E+62,1
1.0011E+63,1
1.01101E+62,0
1.1011E+62,0
1.1E+62,0
1.001E+63,1
1.10001E+63,0
1.10001E+63,1
1.00011E+56,0
1.101E+63,0
1.0111E+61,0
1.111E+63,1
1.11111E+63,0
1.0011E+62,0
1.1001E+61,0
1.01101E+61,1
1.11E+62,1
1.101E+63,1
1.111E+61,1
1.10111E+62,0
1.10011E+62,1
1.11011E+63,0
1.11101E+63,1
1.01011E+63,0
1.01001E+62,0
1.1E+60,1
1E+62,1
1.11101E+63,0
1.011E+61,0
1.11011E+63,0
1.11011E+63,0
1.101E+63,0
1.11001E+63,1
1.01001E+62,1
1.111E+63,1
1.001E+62,0
1.00101E+61,1
1.01101E+57,0
1.1111E+63,1
1.01101E+63,1
1.0111E+61,1
1.10101E+62,0
1.10111E+62,0
1.01101E+61,1
1.1111E+60,1
1.0011E+60,1
1.11011E+60,0
1.01111E+63,0
1.00111E+59,1
1.01011E+62,0
1.01101E+62,0
1.0001E+60,0
1.1111E+63,1
1.01001E+63,1
1.11001E+63,1
1.1011E+61,1
1.0011E+61,1
1.1101E+63,1
1.101E+63,0
1.001E+60,1
1.1101E+63,1
1.1101E+60,1
1.111E+59,1
1.11011E+60,1
1.10111E+59,1
1.0001E+63,0
1.0001E+62,1
1.00001E+63,1
1.10101E+62,1
1.10111E+54,1
1.01001E+61,0
1.011E+63,0
1.111E+62,1
1.111E+63,1
1.00101E+62,0
1.1E+62,0
1.01111E+63,0
1.0011E+61,0
1.101E+62,0
1.1101E+62,1
1.111E+63,0
1.00111E+61,1
1.1111E+62,0
1.0011E+63,1
1.0101E+62,1
1.0011E+62,0
1E+61,0
1.11101E+62,1
1.0001E+63,1
1.0001E+63,0
1.10001E+63,1
1.01E+63,0
1.01101E+63,0
1.01011E+63,1
1.10001E+63,0
1.00101E+59,0
1.01101E+60,1
1.0111E+63,1
1.00001E+61,1
1.0001E+62,0
1.11111E+61,0
1.11101E+62,1
1.001E+63,0
1.101E+63,1
1.11101E+60,1
1.01111E+63,0
1.01111E+61,1
1.10011E+58,0
1.10101E+61,0
1.1001E+63,1
1E+63,1
1.1011E+62,0
1.00101E+62,0
1.01001E+63,1
1E+63,1
1.10011E+63,0
1.00001E+63,1
1.1101E+63,1
1.1001E+62,1
1.11011E+62,1
1.1101E+63,0
1.1101E+59,1
1.1E+62,1
1.00001E+63,1
1.1101E+63,0
1.10111E+63,0
1.10011E+63,0
1.01001E+63,0
1.11001E+62,0
1.01011E+63,1
1.10011E+63,1
1.11E+62,0
1.00011E+63,0
1.1E+63,0
1.0101E+58,0
1.1E+59,0
1.11101E+63,1
1.00101E+63,0
1.10111E+63,1
1.0001E+60,0
1.1011E+61,0
1.01011E+60,1
1.00001E+63,1
1.1101E+62,1
1.1001E+57,1
1E+62,1
1.101E+62,0
1.11101E+63,1
1.00101E+63,0
1.01001E+59,0
1.00011E+63,0
1.01011E+63,0
1.001E+63,0
1.101E+63,1
1.01111E+63,1
1.0101E+63,1
1.01111E+57,0
1.00001E+62,0
1.11001E+63,0
1.111E+60,0
1.11001E+60,1
1.01E+62,1
1.0101E+63,0
1.111E+63,0
1.0111E+61,0
1E+63,1
1.00001E+62,1
1.101E+63,1
1.101E+63,1
1.01001E+63,0
1.10011E+62,1
1.11E+63,0
1.11001E+62,1
1.01001E+62,0
1.0111E+63,1
1.0111E+63,1
1.01111E+58,1
1.0111E+63,0
1.00001E+63,0
1.101E+60,0
1.0111E+63,1
1.11011E+60,0
1E+62,0
1.11011E+61,0
1.01001E+63,1
1.10101E+62,0
1.0011E+62,0
1.0011E+61,1
1.00111E+63,1
1.10011E+59,1
1.01011E+55,1
1.01111E+62,0
1.001E+62,0
1.10001E+61,0
1.10001E+61,0
1.11111E+63,1
1.10101E+63,0
1.001E+63,0
1.1101E+63,0
1.0101E+63,0
1.01011E+60,1
1.1101E+63,0
1.11111E+62,1
1.1001E+62,1
1.0011E+63,0
1.01011E+61,1
1.1001E+62,1
1.0111E+61,1
1.0001E+61,1
1.0101E+62,0
1.111E+62,1
1.0011E+63,1
1.1111E+63,0
1.01011E+61,0
1.01111E+63,1
1.1111E+63,1
1.111E+57,1
1.00011E+61,1
1.0111E+63,0
1.01001E+63,0
1.10101E+62,0
1.01E+63,0
1.10111E+62,0
1.01001E+61,0
1.01011E+63,0
1.1001E+63,0
1.00011E+63,0
1.0101E+63,1
1.11011E+63,1
1.11101E+63,1
1.11E+59,1
1.001E+61,1
1.11E+63,0
1.01E+55,1
1.1101E+63,0
1.11E+62,1
1.00001E+62,0
1E+62,0
1.01101E+63,1
1.1111E+59,0
1.11111E+61,1
1.10101E+63,0
1.1011E+59,0
1.00011E+63,0
1.11E+63,1
1.1001E+63,1
1.011E+62,1
1.111E+63,0
1.1101E+63,0
1.00101E+63,0
1.01011E+62,1
1.1111E+63,1
1.011E+60,1
1.00011E+60,1
1.0101E+63,0
1.01E+63,0
1.111E+63,0
1.10001E+63,0
1.10111E+58,1
1.1101E+63,0
1.01111E+60,0
1.0111E+62,0
1.00001E+61,0
1.101E+61,1
1.1101E+59,0
1.0001E+57,1
1.00011E+63,1
1.1111E+61,0
1.11101E+63,1
1.01101E+61,1
1E+63,0
1.11001E+63,1
1.011E+63,1
1.11001E+63,0
1.01111E+62,0
1.01E+63,1
1.0101E+62,1
1.10111E+62,1
1.101E+60,0
1.111E+62,1
1.01001E+63,1
1E+61,0
1.00011E+63,1
1.011E+63,0
1.1111E+62,1
1.00101E+62,0
1.0101E+62,1
1.1101E+62,0
1.1001E+57,0
1.01111E+63,1
1E+62,0
1.101E+62,1
1.10101E+61,0
1.00111E+62,0
1.10101E+60,0
1.00101E+61,0
1.00101E+63,0
1.11101E+62,1
1.001E+63,0
1.1101E+62,1
1.0001E+62,1
1.11001E+63,1
1.01E+63,0
1.1001E+60,1
1.00001E+62,1
1.01E+63,1
1.00001E+62,0
1.1111E+62,1
1.101E+62,0
1.1001E+61,1
1.1101E+61,0
1.11E+63,1
1.1101E+63,1
1.1011E+63,0
1.001E+62,1
1.10001E+60,1
1.00111E+60,0
1.1011E+60,0
1.1111E+63,1
1.1111E+62,1
1.00011E+62,1
1.10111E+63,1
1.011E+62,0
1.111E+63,0
1.10111E+63,0
1.111E+63,0
1.101E+63,0
1.0111E+63,0
1.11111E+63,1
1.01101E+63,0
1E+56,1
1.0101E+61,1
1.11011E+62,0
1.001E+56,0
1.00011E+63,0
1.11111E+63,1
1.10011E+61,0
1.11101E+62,0
1.1101E+61,0
1.00111E+62,1
1.00101E+63,0
1.01011E+60,1
1.1101E+63,1
1.11001E+60,1
1.11011E+63,1
1.11101E+62,0
1.10111E+63,1
1.10001E+63,1
1.11E+60,0
1.011E+63,1
1.00111E+62,0
1.0101E+61,1
1.0111E+63,0
1.01011E+63,0
1.11001E+63,0
1.0011E+63,0
1.11101E+55,0
1.00101E+63,0
1.00111E+62,1
1.011E+62,0
1.10101E+63,0
1.1011E+61,1
1.00101E+62,1
1.11E+63,0
1.0111E+62,1
1.00101E+62,0
1.01101E+63,0
1.01E+59,0
1.01E+62,0
1.0111E+62,1
1.1111E+62,0
1.10101E+62,1
1.00101E+63,1
1E+58,1
1.00001E+62,0
1.11111E+60,1
1.11011E+63,1
1.01101E+63,1
1.00001E+63,0
1.1111E+63,1
1.011E+63,1
1.0101E+63,1
1.01001E+63,0
1.0111E+63,1
1.10101E+63,1
1.0111E+63,1
1.00001E+63,0
1.11111E+60,0
1.001E+63,1
1.10001E+62,1
1.1101E+63,0
1.0101E+61,0
1.11E+61,1
1.00011E+61,1
1.111E+63,0
1.1101E+62,0
1.0001E+62,0
1.0001E+63,0
1.0001E+62,1
1.11011E+62,0
1.0111E+63,0
1.00011E+63,0
1.1101E+63,1
1.0111E+63,1
1.1E+63,0
1.00111E+63,1
1.1011E+63,0
1.01001E+63,0
1.0101E+62,1
1.11011E+62,0
1.01001E+59,0
1.01E+63,1
1.011E+60,0
1.001E+63,1
1.011E+63,1
1.101E+63,0
1.10001E+62,0
1.0101E+63,0
1.01001E+60,0
1.1111E+63,0
1.11E+63,1
1.11011E+63,0
1.0111E+59,1
1.10101E+63,0
1.11001E+63,1
1.11111E+61,1
1.00001E+62,0
1.01011E+63,1
1.1E+61,0
1.10001E+63,1
1.1E+62,1
1.11001E+62,1
1.01011E+63,0
1.0011E+62,1
1.1111E+62,0
1.00101E+63,1
1.00001E+62,0
1.0111E+63,1
1.1101E+63,1
1.11101E+57,1
1.10101E+61,1
1.10101E+63,1
1.111E+63,0
1.001E+63,0
1.00101E+57,0
1.01011E+59,1
1.1E+62,0
1.01101E+59,0
1.01011E+57,1
1.1E+63,0
1.00011E+63,1
1.01111E+63,1
1.00111E+62,0
1.00001E+62,0
1.01101E+63,1
1.11011E+59,1
1.01001E+63,1
1.01101E+62,1
1.011E+63,1
1.00101E+63,0
1.11101E+58,0
1.1001E+62,0
1.10101E+63,0
1.1011E+63,1
1.0011E+61,0
1.0101E+63,1
1.1111E+62,0
1.1101E+62,1
1.10111E+63,0
1.00101E+62,1
1.11011E+62,1
1.1111E+63,0
1.01101E+63,0
1.011E+63,0
1.11101E+63,0
1.0001E+62,1
1.1101E+63,0
1.11011E+63,1
1.11E+62,1
1.10011E+62,0
1.001E+63,0
1.1E+62,1
1.00001E+62,1
1.111E+61,1
1E+60,1
1.00111E+62,0
1.00111E+63,0
1.01E+63,0
1.11111E+63,1
1.11E+62,0
1.11001E+63,1
1.0011E+63,1
1E+63,0
1.01011E+60,0
1.0011E+58,0
1.00011E+62,1
1.1101E+63,0
1.01101E+59,1
1.0011E+63,0
1.00001E+63,1
1.001E+61,0
1.011E+63,0
1.1111E+61,1
1.1011E+63,1
1.001E+62,0
1.11111E+63,0
1.101E+63,0
1.0101E+62,1
1.1101E+63,1
1.1E+63,0
1.0001E+63,1
1.1101E+63,1
1.11111E+59,1
1.11111E+61,1
1.0011E+62,0
1.11111E+63,1
1.1E+63,1
1.0101E+62,0
1.00111E+63,1
1.001E+63,0
1.1011E+60,1
1.00001E+58,0
1.01111E+60,1
1.00011E+59,0
1.01E+62,0
1.11011E+60,0
1.00011E+62,1
1.011E+62,1
1.01E+63,1
1.01111E+63,0
1E+63,0
1.01011E+61,0
1.00001E+63,1
1.00011E+63,1
1.0101E+63,1
1.11011E+63,1
1.101E+63,1
1.01111E+56,1
1.10101E+63,0
1.0011E+63,0
1.1111E+63,0
1.00001E+62,0
1.1E+63,1
1.01101E+63,1
1E+62,1
1.1111E+63,1
1.10011E+63,1
1.01111E+62,0
1.01111E+61,1
1.101E+60,0
1.00101E+63,0
1.11001E+63,0
1.1001E+60,0
1.00011E+63,0
1.1111E+63,0
1.11111E+60,1
1.00101E+63,1
1.11011E+63,0
1.1E+63,1
1.1011E+62,0
1.11011E+62,1
1.01111E+63,0
1.101E+63,0
1.11111E+62,1
1.1111E+61,0
1.1E+61,0
1.101E+59,0
1.10011E+62,0
1E+63,0
1.0001E+62,1
1.1101E+63,0
1.0011E+62,1
1.1011E+63,0
1.10001E+63,0
1E+59,0
1.0111E+63,1
1.11001E+61,0
1.10101E+63,1
1.011E+63,1
1.01111E+63,1
1.10011E+63,0
1.10101E+59,0
1.1101E+63,1
1.00101E+56,0
1.01111E+63,0
1.01E+63,0
1.00001E+63,1
1.01001E+63,1
1.1011E+63,0
1.00111E+59,0
1.11001E+63,1
1.00111E+62,0
1.11111E+63,1
1.00001E+63,0
1.01E+63,1
1.1011E+62,1
1.10011E+63,1
1.00001E+63,0
1.1001E+60,1
1.011E+61,1
1.10101E+61,1
1.011E+63,1
1.0001E+63,0
1.1E+63,1
1.11001E+62,0
1.0101E+63,0
1.1101E+60,0
1.1111E+62,0
1.10101E+63,0
1.1011E+63,0
1.011E+60,1
1.101E+61,1
1.111E+58,0
1.01111E+61,0
1.1001E+62,0
1.0011E+60,1
1.001E+61,1
1.11111E+62,1
1.001E+63,0
1.111E+63,1
1.1E+62,1
1.11001E+63,1
1.01101E+63,0
1.1101E+62,0
1.00011E+63,0
1.001E+63,0
1.1001E+61,1
1.01011E+63,1
1.01E+62,1
1.01001E+62,1
1.10111E+63,1
1.00011E+62,1
1.0001E+63,0
1.101E+63,0
1.1011E+63,1
1.00011E+63,0
1.11101E+63,0
1.0001E+61,0
1.11111E+63,0
1.01E+63,0
1.001E+63,1
1.11101E+63,0
1.11101E+62,0
1.1111E+63,0
1.10011E+62,1
1.11101E+63,1
1.111E+63,1
1.10001E+62,0
1.0111E+62,1
1.01101E+61,0
1.01001E+63,0
1.101E+63,1
1.0111E+63,1
1.10101E+61,0
1.111E+60,0
1.10011E+63,1
1.00101E+63,0
1.011E+61,1
1.0101E+63,1
1.1101E+63,0
1.10001E+62,1
1.1001E+63,1
1.1E+62,1
1.0001E+62,1
1.01101E+62,1
1.01011E+62,1
1.111E+63,1
1.1101E+63,0
1.0111E+62,0
1.0011E+63,1
1.1111E+63,1
1.11101E+62,0
1.0011E+62,1
1.11E+61,0
1.00001E+63,0
1.0111E+63,0
1.00001E+59,1
1.11001E+63,1
1.0101E+62,1
1.0101E+63,1
1.1011E+62,0
1.0101E+63,0
1.01101E+63,1
1.001E+63,0
1.11001E+62,1
1.1E+61,1
1.10111E+61,0
1.01111E+63,1
1.011E+63,0
1.0001E+63,1
1.10011E+62,1
1.001E+63,0
1.101E+63,0
1.0011E+60,1
1.00111E+60,0
1.0001E+63,1
1.1111E+62,0
1.11101E+63,1
1.101E+62,1
1.0101E+63,0
1.011E+62,1
1E+61,1
1.1011E+61,1
1.11101E+63,1
1.11001E+62,1
1.10111E+57,1
1.01101E+59,1
1.1001E+63,0
1.01001E+62,0
1.1011E+63,1
1.01001E+63,1
1.011E+62,1
1.0101E+63,1
1.0011E+59,0
1.111E+57,1
1.0011E+63,1
1.0101E+63,1
1E+63,1
1.11101E+63,1
1.10111E+63,0
1.01001E+59,1
1.00111E+62,0
1.11E+63,0
1.01011E+60,1
1.10101E+63,1
1.10111E+63,0
1.10111E+63,0
1.0111E+63,1
1.10111E+61,1
1E+63,1
1.00111E+58,0
1.0101E+63,1
1.10011E+58,0
1.11011E+60,0
1.10001E+62,0
1.01111E+61,0
1.1101E+63,1
1.1E+63,1
1.1101E+57,0
1.0111E+63,0
1.00011E+63,1
1.101E+62,1
1.011E+63,1
1.1101E+62,0
1.00101E+62,0
1.00101E+62,0
1.11101E+63,0
1.01011E+63,0
1.10111E+62,1
1.001E+63,1
1.011E+63,1
1E+61,0
1.00111E+63,0
1.00111E+60,0
1.11101E+62,1
1.1111E+62,1
1.011E+60,1
1.01101E+62,1
1.1101E+61,1
1.01E+63,0
1.01E+63,0
1.00101E+62,0
1.011E+63,0
1.00111E+58,0
1.0011E+63,1
1.1011E+63,1
1.1101E+62,1
1.111E+63,0
1.01001E+63,0
1.11001E+63,1
1.001E+63,1
1.10111E+62,1
1.0111E+62,0
1.01011E+62,0
1.11011E+62,0
1.01011E+63,0
1.1011E+62,1
1.001E+62,1
1.01E+63,1
1.1111E+63,1
1.1001E+62,0
1.1001E+62,0
1.1001E+62,0
1.0011E+62,1
1.00011E+63,0
1.0011E+59,0
1.0101E+63,0
1.0111E+63,0
1.1101E+63,1
1E+62,0
1.0011E+61,0
1.01111E+62,0
1.1011E+62,0
1.00101E+62,1
1.1E+62,0
1.101E+63,0
1.11011E+63,0
1.01011E+63,0
1.10001E+63,0
1.111E+62,1
1.11E+60,0
1.1111E+61,0
1.0001E+63,0
1.11101E+63,1
1.11E+62,1
1.10101E+63,1
1.01011E+63,0
1.10101E+63,1
1.1101E+63,1
1.1111E+62,1
1.11101E+63,1
1.01E+62,0
1.01E+63,1
1.1101E+63,0
1.10011E+62,1
1.11011E+60,1
1.10111E+61,0
1.01101E+63,1
1.1001E+63,1
1.00101E+60,0
1.01111E+63,0
1.111E+63,1
1.10011E+63,0
1.1001E+63,1
1.111E+63,1
1.1E+62,1
1.0011E+63,0
1E+63,1
1.1001E+63,0
1.00111E+63,0
1.1001E+61,1
1.01101E+62,1
1E+62,0
1.00101E+61,0
1.10011E+63,1
1.11011E+63,1
1E+59,0
1.11111E+63,1
1.01101E+62,1
1.1E+63,1
1.01011E+63,0
1.1111E+63,0
1.1101E+63,0
1.1001E+62,0
1.11001E+61,1
1.01111E+62,0
1.011E+59,1
1.01011E+59,1
1.10111E+61,0
1.11001E+63,0
1.1001E+56,1
1.00011E+63,0
1.0011E+63,0
1.10011E+63,0
1.01001E+61,0
1.101E+63,1
1.1011E+60,1
1.01111E+62,1
1.1E+63,0
1.1111E+63,1
1.00001E+62,1
1.0101E+63,1
1.10101E+63,0
1.00001E+62,0
1.01101E+62,0
1.0101E+59,1
1.10101E+62,0
1.1111E+63,0
1.11101E+63,0
1.11E+63,0
1.1111E+63,0
1.0001E+63,1
1.0001E+63,1
1.11111E+61,0
1.00101E+62,0
1.011E+59,0
1.01001E+63,1
1.01001E+63,1
1.1011E+63,1
1.0111E+63,1
1.11101E+63,1
1.00101E+63,0
1.1101E+63,0
1E+62,0
1.1001E+63,0
1.1111E+63,1
1.111E+62,0
1.11001E+63,0
1.00111E+63,0
1.00001E+63,1
1.00111E+63,0
1.1011E+63,1
1.01011E+63,1
1.10101E+63,1
1.0101E+63,0
1.11001E+63,0
1E+62,1
1.10001E+63,1
1.10001E+62,1
1.10101E+63,0
1.10011E+59,1
1.0111E+63,0
1.111E+61,1
1.0001E+60,0
1.00001E+63,0
1.111E+63,1
1.1101E+63,1
1.01111E+63,1
1.111E+63,0
1.00101E+63,1
1.101E+63,1
1.11011E+63,1
1.111E+62,0
1.0001E+62,1
1.10011E+63,0
1.1101E+60,1
1.00001E+63,1
1.11E+63,0
1.00111E+61,1
1E+61,0
1.01E+63,1
1.01E+63,0
1.00101E+63,0
1.0111E+63,1
1.1001E+62,0
1.1001E+60,0
1.1111E+61,1
1.0011E+62,1
1.1111E+62,1
1.11111E+63,0
1.11001E+63,0
1.1011E+63,1
1.101E+62,1
1.01E+63,0
1.0111E+62,0
1.00111E+63,0
1.1001E+63,0
1.11001E+63,0
1.1011E+62,0
1.00001E+61,0
1.101E+63,1
1.0001E+57,0
1.01E+63,0
1.1101E+63,0
1.11111E+63,1
1.01001E+62,1
1.11011E+61,1
1.01001E+63,1
1E+63,1
1.1111E+63,1
1.0001E+63,1
1.011E+61,1
1.11101E+63,1
1.11001E+63,0
1.1001E+59,0
1.00001E+63,0
1.01E+63,0
1.11111E+63,0
1.0111E+60,0
1.1101E+63,0
1.11011E+63,1
1.01101E+60,1
1.00001E+63,0
1.11001E+63,1
1.11011E+63,0
1.0011E+62,1
1.01101E+62,1
1.01101E+63,0
1.01011E+62,0
1.11011E+62,0
1.01001E+62,1
1.1011E+63,0
1.1101E+62,1
1.11101E+63,1
1.101E+63,1
1.1001E+63,0
1.11001E+60,0
1.0001E+61,0
1.00111E+63,1
1.10001E+63,0
1.1E+63,1
1.11011E+63,0
1.10011E+63,1
1.01111E+57,0
1.1101E+57,0
1.00101E+62,0
1.10111E+59,0
1.0111E+63,0
1.00001E+62,0
1.1101E+61,1
1.01E+61,1
1.011E+63,1
1.1111E+60,1
1.1001E+60,1
1.0111E+62,0
1.01001E+61,0
1.11111E+62,1
1.00011E+63,0
1.0011E+63,0
1E+62,1
1.10101E+62,1
1.001E+62,0
1E+63,1
1.01E+63,0
1.10011E+63,0
1.00011E+62,1
1.01011E+61,0
1.0111E+62,1
1.0011E+63,0
1.01111E+61,1
1.00011E+63,1
1.10101E+62,1
1.01011E+63,1
1.011E+62,1
1.0001E+62,1
1.01101E+58,0
1.00011E+63,1
1.0111E+63,1
1.11001E+62,0
1.01111E+63,0
1.0001E+63,1
1.10101E+61,1
1.10111E+63,0
1.10001E+62,1
1.1111E+62,0
1.0111E+63,1
1.1E+63,1
1.1001E+63,1
1.011E+63,0
1.0101E+62,1
1.11101E+63,0
1.1011E+63,1
1.00011E+60,0
1.1E+63,0
1.00111E+63,0
1.11111E+62,0
1.10011E+62,0
1.1E+63,0
1.10111E+61,1
1.10111E+61,1
1.00011E+60,1
1.10101E+63,0
1.10011E+62,0
1.0001E+63,1
1.001E+63,0
1.1001E+63,1
1.0101E+60,0
1.00001E+62,0
1.1E+63,0
1.00011E+63,1
1.01101E+63,1
1E+63,1
1.10101E+63,1
1.01E+63,1
1.10111E+63,1
1.0011E+63,1
1.01001E+63,1
1.00111E+63,0
1.111E+63,1
1.00101E+63,0
1.1001E+63,0
1.1101E+62,1
1.10101E+63,1
1.11101E+62,1
1.10011E+60,0
1.1011E+63,0
1.00011E+60,1
1.011E+62,0
1.11011E+62,1
1.011E+62,1
1.00101E+63,1
1.0101E+61,0
1.1E+60,1
1.10011E+62,0
1.1101E+63,0
1.1E+61,1
1.11001E+62,0
1.1011E+63,1
1.01E+62,0
1.011E+62,1
1.01011E+63,0
1.11E+63,1
1.0111E+63,1
1.0111E+63,1
1.001E+63,1
1.11E+63,0
1.11101E+62,1
1.1101E+63,0
1.0111E+62,0
1.10111E+63,1
1.01101E+62,0
1.10011E+60,0
1.0111E+63,0
1.11011E+62,0
1.1011E+63,1
1.11E+62,1
1.10001E+62,1
1.01111E+63,0
1.11101E+63,1
1.0011E+63,1
1.11E+62,1
1.11001E+63,1
1.01E+60,0
1.01101E+62,1
1.111E+62,0
1.11001E+63,0
1.1E+63,0
1.011E+63,0
1.01E+63,1
1.0101E+62,0
1.10101E+62,1
1.11E+62,1
1.1001E+63,1
1.0111E+60,0
1.101E+61,1
1.01E+61,0
1.00111E+61,1
1.11E+60,0
1.1101E+62,0
1.01101E+63,1
1.0011E+63,0
1.00111E+63,0
1.11001E+61,1
1.111E+63,1
1.11111E+62,1
1E+63,0
1.0111E+60,1
1.10001E+63,1
1.11111E+61,0
1.00011E+63,0
1.1101E+61,0
1.1101E+63,0
1.10101E+63,0
1.11111E+60,0
1.00011E+60,1
1.11111E+61,1
1.0111E+59,1
1.01E+60,0
1.001E+62,0
1.01001E+59,0
1.0111E+63,1
1.00001E+61,1
1.101E+60,1
1.0001E+62,0
1.10001E+58,1
1.0011E+61,0
1.01001E+62,0
1.1101E+63,0
1.11001E+62,0
1.00111E+63,0
1.10111E+62,1
1.1111E+63,0
1.0101E+63,1
1.11011E+63,0
1.00001E+63,0
1.10101E+55,1
1.0111E+63,0
1.11011E+61,0
1.01011E+63,1
1.10111E+63,1
1.0111E+61,1
1.0011E+61,0
1.11011E+61,1
1.1101E+63,1
1.00111E+62,0
1.11001E+62,0
1.00011E+61,0
1.11011E+61,0
1.00001E+63,0
1.1101E+63,0
1.0111E+62,1
1.0011E+62,1
1.01011E+62,1
1.1101E+62,0
1.01E+62,1
1.0101E+58,1
1.11111E+62,1
1.11001E+63,0
1.00011E+63,1
1.11111E+57,1
1.001E+62,0
1.01011E+63,0
1.0011E+63,1
1.0111E+63,1
1.1E+60,1
1.00001E+62,0
1.1001E+63,0
1.11111E+62,0
1.0101E+63,1
1.10111E+63,1
1.0101E+63,1
1.00011E+61,0
1.1E+63,0
1.01111E+62,1
1.00001E+63,1
1.11011E+63,1
1.11011E+59,1
1.01111E+58,1
